date,year,type,country,area,location,activity,sex,age,injury,fatal (y/n),species,month,sex_count,hemisphere,season_hemisphere
Jun,2018,Boating,USA,California,"Oceanside, San Diego County",Paddling,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,White shark,Jun,0.0,North Hemisphere,summer
Jun,2018,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,F,11,Minor injury to left thigh,N,,Jun,0.0,North Hemisphere,summer
Jun,2018,Invalid,USA,Hawaii,"Habush, Oahu",Surfing,M,48,Injury to left lower leg from surfboard skeg,N,,Jun,1.0,North Hemisphere,summer
Jun,2018,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,18,FATAL,Y,Tiger shark,Jun,1.0,South Hemisphere,winter
May,2018,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,"Lemon shark, 3'",May,1.0,North Hemisphere,spring
May,2018,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Walking,M,15,Lower left leg bitten,N,"Bull shark, 6'",May,1.0,North Hemisphere,spring
May,2018,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,M,12,Minor injury to foot,N,,May,1.0,North Hemisphere,spring
May,2018,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Feeding sharks,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Grey reef shark,May,1.0,South Hemisphere,autumn
May,2018,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,M,10,Injuries to lower right leg and foot,N,,May,1.0,North Hemisphere,spring
May,2018,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,N,,May,1.0,North Hemisphere,spring
May,2018,Invalid,ENGLAND,Cornwall,Off Land's End,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,Invalid incident,May,1.0,North Hemisphere,spring
Apr,2018,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,M,30,"No injury, shark bit scuba gear",N,Tiger shark,Apr,1.0,North Hemisphere,spring
Apr,2018,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,M,60,"No injury, knocked off board by shark",N,3 m shark,Apr,1.0,South Hemisphere,autumn
Apr,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,M,32,5-inch cut to hand,N,Tiger shark,Apr,1.0,South Hemisphere,autumn
Apr,2018,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,"White shark, 2.5 m",Apr,1.0,South Hemisphere,autumn
Apr,2018,Unprovoked,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Body boarding,M,29,Lacerations to right lower leg,N,6' shark,Apr,1.0,North Hemisphere,spring
Apr,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,N,Juvenile bull shark,Apr,1.0,North Hemisphere,spring
Apr,2018,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",,,Apr,1.0,South Hemisphere,autumn
Apr,2018,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,Laceration to right thigh,N,,Apr,1.0,South Hemisphere,autumn
Apr,2018,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,N,,Apr,1.0,South Hemisphere,autumn
Apr,2018,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,Shark involvement not confirmed,Apr,1.0,South Hemisphere,autumn
Apr,2018,Unprovoked,BAHAMAS,,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,Bull shark,Apr,1.0,North Hemisphere,spring
Apr,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,N,White shark,Apr,1.0,South Hemisphere,autumn
Mar,2018,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,"Tiger shark, 12'",Mar,1.0,North Hemisphere,spring
Mar,2018,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,M,10,Minor injuries to legs,N,Wobbegong shark,Mar,1.0,South Hemisphere,autumn
Mar,2018,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,3.5 m shark,Mar,1.0,South Hemisphere,autumn
Mar,2018,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",N,1.8 m shark,Mar,1.0,South Hemisphere,autumn
Feb,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,Blacktip shark,Feb,1.0,South Hemisphere,summer
Feb,2018,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,55,Laceratons to right leg & foot,N,"Juvenile white shark,  2.7 to 3.2 m",Feb,0.0,South Hemisphere,summer
Feb,2018,Provoked,AUSTRALIA,Victoria,Westernport Bay,Kayak fishing for sharks,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,,Feb,1.0,South Hemisphere,summer
Feb,2018,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,N,"Bull shark, 2 m",Feb,1.0,South Hemisphere,summer
Feb,2018,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,Cleaning fish,F,46,Lacerations to 4 toes of right foot,N,"Injury believed caused by an eel, not a shark",Feb,0.0,South Hemisphere,summer
Feb,2018,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,M,45,Injuries to right foot,N,Galapagos shark?,Feb,1.0,South Hemisphere,summer
Feb,2018,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",N,2m shark,Feb,1.0,South Hemisphere,summer
Jan,2018,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,,M,18,Injuries to right leg,N,Bull shark,Jan,1.0,South Hemisphere,summer
Jan,2018,Unprovoked,NEW CALEDONIA,,Nouville,Spearfishing,M,40,Injuries to abdomen and arm,N,"Bull shark, 3 m ",Jan,1.0,South Hemisphere,summer
Jan,2018,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free diving,M,28,"No injury, shark took his swimfin",N,"White shark, 3.5 m",Jan,1.0,South Hemisphere,summer
Jan,2018,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,M,20,Minor injury to left forearm,N,small shark,Jan,1.0,South Hemisphere,summer
